Seconds,ECG,pitch,roll,heading,GyrZ,Glide_Controller,Depth,Heart_Rate,Stroke_Rate,Heart_Detected,Stroke_Detected
60784.3,58.1577,42.62449,-9.988146,-42.21832,0.001172143,1.47E-08,-0.06607214,102.4854,23.66025,1,0
60784.4,-10.98123,41.57935,-11.31186,-43.3774,-0.001318768,1.47E-08,-0.06607214,107.5848,23.66025,0,0
60784.5,-49.34215,41.57935,-11.31186,-43.3774,-0.001318768,1.47E-08,-0.06607214,107.5848,23.66025,0,0
60784.6,-83.94694,38.57834,-14.72275,-47.29408,-0.002865985,1.47E-08,-0.09317443,107.5848,23.66025,0,0
60784.7,-76.94739,38.57834,-14.72275,-47.29408,-0.002865985,1.47E-08,-0.09317443,107.5848,23.66025,0,0
60784.8,-64.1555,35.13569,-14.42615,-48.56851,-0.004084008,1.47E-08,-0.1067256,107.5848,23.66025,0,0
60784.9,-4.088271,35.13569,-14.42615,-48.56851,-0.004084008,1.47E-08,-0.1067256,105.0422,23.66025,1,0
60785,-21.23344,34.99853,-12.43784,-46.98096,0.002675468,1.47E-08,-0.1067256,99.95708,23.66025,0,0
60785.1,3.943638,34.99853,-12.43784,-46.98096,0.002675468,1.47E-08,-0.1067256,99.95708,23.66025,0,0
60785.2,25.05398,36.83918,-15.02484,-45.61864,0.02395245,1.47E-08,-0.09317443,99.95708,23.66025,0,0
60785.3,65.62663,36.83918,-15.02484,-45.61864,0.02395245,1.47E-08,-0.09317443,99.95708,23.66025,0,0
60785.4,29.88095,37.06138,-18.6884,-45.34947,0.01834516,1.47E-08,-0.07962329,99.95708,23.66025,0,0
60785.5,52.35053,37.06138,-18.6884,-45.34947,0.01834516,1.47E-08,-0.07962329,101.7887,23.66025,1,0
60785.6,2.000215,37.62373,-20.18238,-42.00409,0.02698105,1.47E-08,-0.09317443,105.452,23.66025,0,0
60785.7,-3.306261,37.62373,-20.18238,-42.00409,0.02698105,1.47E-08,-0.09317443,105.452,23.66025,0,0
60785.8,-13.0857,37.00926,-17.87549,-33.0501,0.04535014,1.47E-08,-0.06607214,105.452,26.01365,0,1
60785.9,-11.47456,37.00926,-17.87549,-33.0501,0.04535014,1.47E-08,-0.06607214,105.452,30.72044,0,0
60786,0.499183,38.65241,-18.05675,-26.09565,0.03675815,1.47E-08,-0.02541872,108.2942,30.72044,1,0
60786.1,-14.95802,38.65241,-18.05675,-26.09565,0.03675815,1.47E-08,-0.02541872,113.9788,30.72044,0,0
60786.2,-38.25158,40.82224,-21.204,-26.64498,0.02303071,1.47E-08,-0.01186757,113.9788,30.72044,0,0
60786.3,-26.55302,40.82224,-21.204,-26.64498,0.02303071,1.47E-08,-0.01186757,113.9788,30.72044,0,0
60786.4,43.85065,37.5716,-16.73853,-21.97572,-0.002207595,1.47E-08,-0.052521,113.9788,30.72044,0,0
